id,categoria,nivel,tags,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,cita_biblica
504,Parábolas,intermedio,parabola-trigo-cizana,"En la parábola del trigo y la cizaña, ¿qué instrucción dio el dueño respecto a arrancar la cizaña antes de tiempo?",Que la arrancaran de inmediato,Que dejaran crecer ambos juntos hasta la siega,Que quemaran todo el campo,Que solo cosecharan la cizaña,B,"El dueño mandó dejar crecer juntos el trigo y la cizaña hasta la siega, para no arrancar también el trigo por error.",Mateo 13:29-30
505,Parábolas,intermedio,parabola-deudor-diez-mil-talentos,"En la parábola del siervo que no perdona, ¿cuánto le debía el siervo a su señor antes de ser perdonado?",Cien denarios,Diez mil talentos,Mil monedas de plata,Cincuenta denarios,B,"El siervo debía diez mil talentos, una deuda enorme e impagable, que el rey le perdonó por completo al principio.",Mateo 18:24
506,Parábolas,avanzado,parabola-higuera-señal,¿Qué enseñó Jesús con la parábola de la higuera en el contexto de las señales de los últimos tiempos?,Que nunca habría señales del fin,"Que así como los brotes de la higuera anuncian el verano, ciertas señales anunciarían la cercanía de su venida",Que la higuera representa a los gentiles solamente,Que había que cortar todas las higueras,B,Jesús comparó las señales de los tiempos finales con los brotes de la higuera que anuncian que el verano está cerca.,Mateo 24:32-33
507,Parábolas,avanzado,parabola-talentos-fielidad,"En la parábola de los talentos, ¿qué elogio recibieron los siervos que negociaron fielmente?",'Siervo malo y negligente',"'Bien, buen siervo y fiel; sobre poco has sido fiel, sobre mucho te pondré'","Ninguna respuesta, solo silencio",Fueron castigados a pesar de su esfuerzo,B,"El señor elogió a los siervos fieles diciendo: 'Bien, buen siervo y fiel; sobre poco has sido fiel, sobre mucho te pondré'.","Mateo 25:21,23"
508,Parábolas,avanzado,parabola-oveja-cabritos,"En la parábola del juicio de las naciones (ovejas y cabritos), ¿qué criterio usa el Rey para separar a unos de otros?",La riqueza acumulada,"Cómo trataron a 'los más pequeños', dando de comer, vistiendo, visitando",La nacionalidad de cada uno,El conocimiento teológico que tenían,B,"El Rey separa a las naciones según cómo trataron a los necesitados, diciendo que lo que hicieron a 'estos mis hermanos más pequeños' a él se lo hicieron.",Mateo 25:35-40
509,Parábolas,experto,parabola-siervo-vela-noche,"¿Qué parábola breve enseña que los siervos deben estar preparados 'como los que esperan a su señor', sin saber la hora?",El siervo vigilante,El ladrón en la noche,El siervo que vela para su señor,Las opciones B y C combinadas describen la misma enseñanza,D,"Jesús usa la imagen tanto del ladrón que llega sin aviso como del siervo que vela para su señor, ambas ilustrando la necesidad de estar preparados.",Lucas 12:35-40
510,Parábolas,experto,parabola-torre-guerra-costo,"¿Qué dos ejemplos breves da Jesús sobre calcular el costo antes de actuar, en el contexto de ser su discípulo?",Construir una torre y un rey que va a la guerra,Sembrar un campo y pescar en el mar,Plantar una viña y edificar una casa,Comprar un campo y vender una perla,A,Jesús ilustra con el ejemplo de calcular el costo de construir una torre y de un rey que evalúa si puede enfrentar a otro rey en guerra.,Lucas 14:28-31
511,Parábolas,principiante,parabola-dos-cimientos,"En contraste con el hombre que construyó sobre la roca, ¿qué pasó con la casa del hombre que construyó sobre la arena?",Se mantuvo firme también,"Cayó, y fue grande su ruina",No se menciona su destino,Se convirtió en refugio permanente,B,"La casa edificada sobre la arena cayó cuando vinieron la lluvia, los ríos y los vientos, y fue grande su ruina.",Mateo 7:26-27
512,Parábolas,intermedio,parabola-amigo-medianoche,"¿Qué parábola enseña sobre la persistencia en la oración, usando el ejemplo de un amigo que pide pan a medianoche?",El amigo inoportuno (a medianoche),La viuda insistente,El siervo fiel,El mayordomo infiel,A,"Jesús contó la parábola de un hombre que pide pan prestado a su amigo a medianoche, enseñando sobre la importancia de la perseverancia al orar.",Lucas 11:5-8
513,Parábolas,avanzado,parabola-mayordomo-infiel,"¿Qué elogio irónico recibió el mayordomo infiel de su señor, a pesar de su falta de honestidad?",Fue alabado por su prudencia al actuar con astucia para asegurar su futuro,Fue perdonado sin comentario alguno,Fue castigado severamente sin excepción,No se menciona ninguna reacción del señor,A,"El señor alabó al mayordomo injusto por haber actuado sagazmente, usando esto Jesús para enseñar sobre la sabiduría en el uso de los recursos.",Lucas 16:8
514,Parábolas,experto,parabola-rico-lazaro,"En la parábola del rico y Lázaro, ¿qué pidió el rico desde el lugar de tormento cuando vio a Lázaro en el seno de Abraham?",Que Lázaro mojara la punta de su dedo en agua para refrescar su lengua,Que le devolvieran sus riquezas,Que lo liberaran inmediatamente,Que Abraham intercediera ante Dios por su alma,A,"El rico pidió que Lázaro mojara la punta de su dedo en agua para refrescar su lengua, pues estaba atormentado en aquella llama.",Lucas 16:24
515,Parábolas,experto,parabola-siervos-inutiles,¿Qué actitud de humildad enseñó Jesús con la breve parábola del siervo que ara o apacienta ganado y luego sirve la mesa?,Que los siervos merecen agradecimiento especial siempre,"Que, tras cumplir su deber, deben decir 'siervos inútiles somos, pues hicimos lo que debíamos hacer'",Que los siervos deben exigir su salario,Que el siervo no tiene obligación de servir dos veces,B,"Jesús enseñó que tras cumplir todo lo mandado, los siervos deben decir: 'Siervos inútiles somos, pues lo que debíamos hacer, hicimos'.",Lucas 17:7-10
516,Parábolas,principiante,parabola-vino-nuevo-preferencia,"Según la breve enseñanza de Jesús, ¿por qué alguien acostumbrado al vino añejo no desea enseguida el nuevo?","Porque el vino añejo es mejor, dice, con lo cual ilustra la resistencia humana al cambio",Porque el vino nuevo es más caro,Porque no existe diferencia real,Porque el vino nuevo está prohibido,A,"Jesús observó que nadie que bebe del añejo quiere luego el nuevo, pues dice: 'El añejo es mejor', ilustrando la resistencia a lo nuevo.",Lucas 5:39
517,Parábolas,intermedio,parabola-invitados-primeros-asientos,¿Qué consejo dio Jesús sobre elegir los primeros asientos en un banquete de bodas?,Que siempre había que tomar el mejor lugar disponible,"Que era mejor sentarse en el último lugar, para ser luego invitado a subir",Que no había ninguna norma de cortesía,Que solo los ricos debían sentarse adelante,B,"Jesús aconsejó sentarse en el último lugar, para que el anfitrión dijera 'sube más arriba', trayendo honra en lugar de vergüenza.",Lucas 14:8-10
518,Parábolas,avanzado,parabola-siervo-espera-boda,"¿Qué parábola compara a los siervos que esperan a su señor volviendo de una boda, listos para abrirle la puerta?",El siervo que vela para su señor,La higuera,El grano de mostaza,El sembrador,A,"Jesús comparó a los siervos fieles con quienes esperan a su señor que vuelve de bodas, listos para abrirle tan pronto llegue y llame.",Lucas 12:35-36
519,Parábolas,experto,parabola-jueces-injustos-perseverancia,"¿Con qué propósito explícito contó Jesús la parábola del juez injusto y la viuda, según Lucas?",Para enseñar sobre las finanzas,Para enseñar que debían orar siempre y no desmayar,Para criticar a los jueces romanos,Para hablar sobre el matrimonio,B,Lucas introduce la parábola explicando que Jesús la contó para enseñar que era necesario orar siempre y no desmayar.,Lucas 18:1
520,Parábolas,experto,parabola-obreros-ultima-hora-murmuracion,"En la parábola de los obreros de la viña, ¿por qué murmuraron los que trabajaron todo el día?",Porque no recibieron ningún pago,Porque los que trabajaron solo una hora recibieron el mismo salario que ellos,Porque el trabajo fue demasiado duro,Porque el dueño no apareció,B,"Los que habían trabajado desde temprano murmuraron porque los últimos, que trabajaron solo una hora, recibieron el mismo denario que ellos.",Mateo 20:10-12
521,Números y datos curiosos,principiante,numeros-arca-noe-medidas,"Según Génesis, ¿en cuántos codos se especifica la longitud del arca de Noé?",150 codos,300 codos,500 codos,100 codos,B,"Dios instruyó a Noé a hacer el arca de trescientos codos de longitud, cincuenta de anchura y treinta de altura.",Génesis 6:15
522,Números y datos curiosos,principiante,numeros-doce-espias,¿Cuántos espías envió Moisés a explorar la tierra de Canaán?,10,12,7,40,B,"Moisés envió doce hombres, uno por cada tribu, a explorar la tierra de Canaán.",Números 13:1-2
523,Números y datos curiosos,intermedio,numeros-dias-jonas-nine,¿Cuántos días de plazo dio Jonás a los habitantes de Nínive antes del juicio anunciado?,40 días,7 días,3 días,70 días,A,"Jonás proclamó que dentro de cuarenta días Nínive sería destruida, lo cual motivó el arrepentimiento del pueblo.",Jonás 3:4
524,Números y datos curiosos,intermedio,numeros-anios-samson-juez,"¿Cuántos años juzgó Sansón a Israel, según el libro de Jueces?",10 años,20 años,30 años,40 años,B,El texto indica que Sansón juzgó a Israel en los días de los filisteos veinte años.,Jueces 15:20; 16:31
525,Números y datos curiosos,avanzado,numeros-anios-eli-juez,"¿Cuántos años juzgó Elí a Israel como sacerdote y juez, según 1 Samuel?",20 años,40 años,10 años,60 años,B,El texto registra que Elí juzgó a Israel cuarenta años.,1 Samuel 4:18
526,Números y datos curiosos,avanzado,numeros-doce-fuentes-elim,"En el desierto, en el lugar llamado Elim, ¿cuántas fuentes de agua y palmeras encontró Israel?",12 fuentes y 70 palmeras,10 fuentes y 50 palmeras,7 fuentes y 12 palmeras,20 fuentes y 100 palmeras,A,"En Elim había doce fuentes de aguas y setenta palmeras, y acamparon allí junto a las aguas.",Éxodo 15:27
527,Números y datos curiosos,experto,numeros-anios-cautiverio-babilonico-exacto,"Según la profecía de Jeremías, ¿cuántos años debía durar el servicio a Babilonia antes del regreso del exilio?",50 años,70 años,100 años,40 años,B,"Jeremías profetizó que toda la tierra serviría al rey de Babilonia setenta años, tras lo cual Dios castigaría a esa nación.",Jeremías 25:11-12
528,Números y datos curiosos,experto,numeros-doce-piedras-jordan,¿Cuántas piedras mandó Josué tomar del lecho del Jordán como memorial del cruce milagroso?,10,12,7,40,B,"Josué mandó tomar doce piedras del medio del Jordán, una por cada tribu, como memorial perpetuo.","Josué 4:2-3,8"
529,Números y datos curiosos,principiante,numeros-dias-creacion-septimo,¿Qué hizo Dios en el séptimo día de la creación?,Creó a los animales,Reposó de toda su obra,Creó al hombre,Envió el diluvio,B,"Dios reposó en el séptimo día de toda la obra que había hecho, bendiciéndolo y santificándolo.",Génesis 2:2-3
530,Números y datos curiosos,intermedio,numeros-anios-esclavitud-jose,"Aproximadamente, ¿a qué edad murió José en Egipto, según Génesis 50?",90 años,110 años,120 años,75 años,B,"José murió a la edad de ciento diez años, y fue embalsamado y puesto en un ataúd en Egipto.","Génesis 50:22,26"
531,Números y datos curiosos,avanzado,numeros-doce-apostoles-envio,¿Qué autoridad específica dio Jesús a los doce apóstoles al enviarlos por primera vez a predicar?,Autoridad sobre los espíritus inmundos y para sanar toda enfermedad,Autoridad política sobre las ciudades,Autoridad para cobrar impuestos,Autoridad para juzgar legalmente,A,"Jesús les dio autoridad sobre los espíritus inmundos, para echarlos fuera y sanar toda enfermedad y toda dolencia.",Mateo 10:1
532,Números y datos curiosos,avanzado,numeros-anios-reinado-david-hebron,¿Cuántos años reinó David específicamente en Hebrón antes de trasladarse a Jerusalén?,5 años,7 años y seis meses,10 años,3 años,B,"David reinó en Hebrón sobre Judá siete años y seis meses, antes de ser ungido rey sobre todo Israel en Jerusalén.",2 Samuel 5:5
533,Números y datos curiosos,experto,numeros-anios-templo-construccion,¿Cuántos años tomó la construcción del templo de Salomón?,5 años,7 años,10 años,20 años,B,El texto indica que Salomón edificó la casa de Jehová en siete años.,1 Reyes 6:38
534,Números y datos curiosos,experto,numeros-libro-mas-largo-numero-palabras,"Considerando su extensión, ¿cuál es generalmente considerado el libro más largo de la Biblia en número de palabras?",Génesis,Salmos,Jeremías,Isaías,B,"El libro de los Salmos es frecuentemente citado como el más extenso de la Biblia en cuanto a número total de palabras, aunque Jeremías también es muy extenso.",Referencia general de extensión bíblica
535,Números y datos curiosos,principiante,numeros-panes-proposicion,¿Cuántos panes de la proposición se colocaban semanalmente en el tabernáculo?,6,12,10,24,B,"Se colocaban doce tortas de pan sobre la mesa de oro puro delante de Jehová, representando a las doce tribus.",Levítico 24:5-6
536,Números y datos curiosos,intermedio,numeros-anios-jose-esclavitud-hasta-gobernador,"¿A qué edad fue vendido José como esclavo por sus hermanos, según el registro bíblico?",17 años,20 años,25 años,15 años,A,"José tenía diecisiete años cuando apacentaba las ovejas con sus hermanos, poco antes de ser vendido.",Génesis 37:2
537,Números y datos curiosos,avanzado,numeros-doce-tribus-lista-completa,"¿Qué tribu de Israel no recibió una porción de tierra propia, dedicándose en cambio al servicio del santuario?",Leví,Simeón,Dan,Benjamín,A,"La tribu de Leví no recibió heredad de tierra como las demás, porque Jehová mismo era su heredad, dedicándose al servicio sacerdotal.",Números 18:20-24
538,Números y datos curiosos,experto,numeros-anios-abraham-muerte,"¿A qué edad murió Abraham, según el registro de Génesis?",150 años,175 años,200 años,120 años,B,"Abraham vivió ciento setenta y cinco años, y murió en buena vejez, anciano y lleno de años.",Génesis 25:7-8
539,Números y datos curiosos,principiante,numeros-dias-jesus-tentacion-desierto,"¿Cuántos días fue tentado Jesús por el diablo en el desierto, según Lucas?",40 días,30 días,7 días,3 días,A,"Lucas registra que Jesús fue llevado por el Espíritu al desierto por cuarenta días, siendo tentado por el diablo.",Lucas 4:1-2
540,Números y datos curiosos,intermedio,numeros-anios-salomon-templo-edad,¿Aproximadamente a qué edad comenzó Salomón a reinar sobre Israel?,"Siendo aún joven, posiblemente en su adolescencia o veintena temprana",A los 50 años,A los 60 años,A los 70 años,A,"Aunque no se da una edad exacta, el propio Salomón se describe como 'joven' al comenzar a reinar, pidiendo sabiduría para gobernar.",1 Reyes 3:7
541,Geografía,principiante,geografia-rio-eufrates-eden,¿Qué río importante de Mesopotamia es mencionado como uno de los cuatro ríos que salían del Edén?,El Nilo,El Éufrates,El Tigris solamente,El Jordán,B,"Génesis menciona que el cuarto río que salía del Edén era el Éufrates, entre los cuatro ríos descritos.",Génesis 2:14
542,Geografía,principiante,geografia-monte-ararat,¿En qué montañas reposó el arca de Noé después del diluvio?,Montañas de Ararat,Monte Sinaí,Montañas del Líbano,Monte Carmelo,A,"El arca reposó sobre los montes de Ararat en el mes séptimo, a los diecisiete días del mes.",Génesis 8:4
543,Geografía,intermedio,geografia-hai-jerico,"Después de la caída de Jericó, ¿qué ciudad cercana intentó conquistar Israel pero fue inicialmente derrotada por el pecado de Acán?",Hai,Gabaón,Bet-el,Silo,A,"Israel fue derrotado en su primer intento de conquistar Hai debido al pecado oculto de Acán, quien había tomado del anatema.",Josué 7:2-5
544,Geografía,intermedio,geografia-monte-gilboa,¿En qué monte murió el rey Saúl junto con sus hijos en batalla contra los filisteos?,Monte Gilboa,Monte Carmelo,Monte Tabor,Monte Hermón,A,Saúl y sus hijos murieron en el monte Gilboa durante la batalla contra los filisteos.,"1 Samuel 31:1,6"
545,Geografía,avanzado,geografia-ciudad-refugio-siquem,¿Cuál de las siguientes ciudades bíblicas era tanto ciudad de refugio como ciudad levítica en el territorio de Efraín?,Siquem,Hebrón,Cedes,Golán,A,"Siquem, en la región montañosa de Efraín, fue designada como una de las ciudades de refugio y también ciudad levítica.",Josué 20:7; 21:21
546,Geografía,avanzado,geografia-valle-josafat,¿Qué valle es mencionado proféticamente en Joel como el lugar del juicio final de las naciones?,Valle de Josafat,Valle de Ela,Valle de Sidim,Valle de Hinom,A,Joel profetiza que Dios juntará a todas las naciones y las hará descender al valle de Josafat para juicio.,"Joel 3:2,12"
547,Geografía,experto,geografia-valle-hinom-gehena,"¿Qué valle cercano a Jerusalén, asociado con prácticas idólatras de sacrificio infantil, dio origen al término 'Gehena' usado por Jesús?",Valle de Josafat,Valle de Hinom,Valle de Ela,Valle de Sidim,B,"El valle de Hinom, donde se habían practicado sacrificios idólatras, se convirtió en la base del término 'Gehena' que Jesús usó para referirse al lugar de castigo.",2 Reyes 23:10; Mateo 5:22
548,Geografía,principiante,geografia-mar-galilea-nombres,¿Con qué otro nombre es conocido el mar de Galilea en algunos pasajes del Nuevo Testamento?,Mar Muerto,Lago de Genesaret (o mar de Tiberias),Mar Rojo,Mar Mediterráneo,B,El mar de Galilea también es llamado lago de Genesaret y mar de Tiberias en diferentes pasajes de los evangelios.,Lucas 5:1; Juan 6:1
549,Geografía,intermedio,geografia-ciudad-siria-antioquia-nombre-cristianos,¿En qué ciudad los discípulos de Jesús fueron llamados 'cristianos' por primera vez?,Jerusalén,Antioquía,Éfeso,Roma,B,El texto de Hechos registra que fue en Antioquía donde los discípulos fueron llamados cristianos por primera vez.,Hechos 11:26
550,Geografía,avanzado,geografia-monte-hermon,"¿Qué monte, el más alto de la región, es frecuentemente sugerido como posible ubicación de la transfiguración de Jesús?",Monte Hermón,Monte Nebo,Monte Ebal,Monte Gilboa,A,"El monte Hermón, cercano a Cesarea de Filipo donde ocurrió la confesión de Pedro, es propuesto por algunos eruditos como el lugar de la transfiguración.",Referencia contextual: Mateo 16:13-17:1 (ubicación no explícita en el texto)
551,Geografía,experto,geografia-ciudad-tesalonica-macedonia,"¿En qué provincia romana se ubicaba la ciudad de Tesalónica, a cuya iglesia Pablo escribió dos epístolas?",Acaya,Macedonia,Asia,Galacia,B,"Tesalónica era una importante ciudad de la provincia romana de Macedonia, donde Pablo predicó y luego fundó una iglesia.",Hechos 17:1
552,Geografía,principiante,geografia-egipto-jose-familia,¿En qué región de Egipto se estableció la familia de Jacob al llegar por invitación de José?,Gosén,Menfis,Tebas,"El Cairo (anacronismo, no aplica)",A,"José estableció a su padre y hermanos en la tierra de Gosén, la mejor parte de la tierra de Egipto.","Génesis 47:6,11"
553,Geografía,intermedio,geografia-ciudad-jope-pedro-cornelio,¿En qué ciudad costera estaba Pedro hospedado en casa de Simón el curtidor cuando recibió la visión del lienzo?,Cesarea,Jope,Jerusalén,Antioquía,B,"Pedro estaba en Jope, en casa de un curtidor llamado Simón, cuando tuvo la visión que precedió su encuentro con Cornelio.","Hechos 10:5-6,9"
554,Geografía,avanzado,geografia-cesarea-maritima-pablo-prision,"¿En qué ciudad costera, sede del gobierno romano en Judea, estuvo Pablo preso durante dos años antes de apelar al César?",Jope,Cesarea,Jerusalén,Antioquía,B,"Pablo estuvo preso en Cesarea, sede del gobernador romano, durante dos años bajo Félix y luego Festo.",Hechos 24:27
555,Geografía,experto,geografia-region-galacia-cartas,"¿A qué región de Asia Menor, evangelizada en el primer viaje misionero, dirigió Pablo la carta a los Gálatas?",Galacia,Capadocia,Bitinia,Panfilia,A,"La epístola a los Gálatas fue dirigida a las iglesias de la región de Galacia, en Asia Menor.",Gálatas 1:2
556,Geografía,principiante,geografia-jordan-bautismo-region,"¿En qué región general se ubica el río Jordán, donde Juan bautizaba y donde Jesús fue bautizado?",Entre el mar de Galilea y el Mar Muerto,En Egipto,En Mesopotamia,En la costa mediterránea,A,"El río Jordán fluye desde el norte, pasando por el mar de Galilea, hasta desembocar en el Mar Muerto.",Referencia geográfica general
557,Geografía,intermedio,geografia-siquem-pozo-jacob-detalle,"¿Quién había dado originalmente el pozo donde Jesús conversó con la samaritana, según el propio relato?",Abraham,Jacob,Moisés,Josué,B,"La mujer samaritana le pregunta a Jesús si era mayor que 'nuestro padre Jacob, que nos dio este pozo'.",Juan 4:12
558,Geografía,avanzado,geografia-listra-derbe-region-licaonia,"¿En qué región de Asia Menor se ubicaban las ciudades de Listra y Derbe, visitadas por Pablo y Bernabé?",Licaonia,Panfilia,Cilicia,Frigia,A,"Listra y Derbe, junto con la región circunvecina, formaban parte de Licaonia, en Asia Menor.",Hechos 14:6
559,Geografía,experto,geografia-patara-mira-viaje-pablo,"En su último viaje a Jerusalén, ¿en qué ciudad portuaria de Licia cambió Pablo de barco rumbo a Fenicia?",Patara,Mileto,Cos,Rodas,A,"Pablo llegó a Patara, y allí halló un barco que pasaba a Fenicia, en el cual se embarcó.",Hechos 21:1-2
560,Geografía,principiante,geografia-samaria-region-entre,¿Entre qué dos regiones de Israel se ubicaba geográficamente Samaria?,Entre Galilea y Judea,Entre Perea y Decápolis,Entre Idumea y Filistea,Entre Fenicia y Siria,A,Samaria se ubicaba geográficamente entre las regiones de Galilea al norte y Judea al sur.,Referencia geográfica general; Juan 4:3-4
561,Profecías,principiante,profecia-serpiente-simiente,"En Génesis 3:15, ¿qué promesa profética hace Dios respecto a la simiente de la mujer y la serpiente?",Que vivirían en paz eterna,Que la simiente de la mujer heriría la cabeza de la serpiente,Que la serpiente gobernaría al hombre,Que ambos desaparecerían,B,"Dios anuncia que pondría enemistad entre la simiente de la mujer y la serpiente, y que esta heriría su cabeza, considerada la primera profecía mesiánica (protoevangelio).",Génesis 3:15
562,Profecías,intermedio,profecia-bendicion-naciones-abraham,¿Qué promesa profética de alcance universal hizo Dios a Abraham respecto a todas las naciones?,Que solo Israel sería bendecida,Que en su simiente serían benditas todas las naciones de la tierra,Que Abraham gobernaría todas las naciones,Que las naciones lo maldecirían,B,"Dios prometió a Abraham que en su simiente serían benditas todas las naciones de la tierra, cumplida en Cristo según el Nuevo Testamento.",Génesis 22:18; Gálatas 3:16
563,Profecías,intermedio,profecia-cetro-juda,¿Qué profecía pronunciada por Jacob sobre su hijo Judá anticipa que el gobernante vendría de esa tribu?,'No será quitado el cetro de Judá... hasta que venga Siloh','Judá será el menor de los hermanos','Judá vivirá en tiendas para siempre','Judá será maldito por su pecado',A,"Jacob profetizó que el cetro no sería quitado de Judá hasta que viniera Siloh, entendido como una referencia mesiánica.",Génesis 49:10
564,Profecías,avanzado,profecia-estrella-jacob-balaam,¿Qué profecía pronunció Balaam sobre una 'estrella' que saldría de Jacob?,"'Saldrá estrella de Jacob, y se levantará cetro de Israel'",'Israel será destruido por completo','Jacob nunca tendrá descendencia','Moab gobernará sobre Israel para siempre',A,"A pesar de haber sido contratado para maldecir, Balaam profetizó que una estrella saldría de Jacob y un cetro se levantaría de Israel.",Números 24:17
565,Profecías,avanzado,profecia-profeta-como-moises,¿Qué profecía de Deuteronomio anuncia que Dios levantaría 'un profeta como Moisés' de en medio del pueblo?,Deuteronomio 18:15-18,Deuteronomio 6:4-5,Deuteronomio 34:10,Deuteronomio 28:1,A,"Moisés profetizó que Dios levantaría un profeta como él de en medio de sus hermanos, entendido en el Nuevo Testamento como referencia a Cristo.","Deuteronomio 18:15,18; Hechos 3:22"
566,Profecías,experto,profecia-rechazo-piedra-angular,¿Qué salmo profético describe al Mesías como 'la piedra que desecharon los edificadores' que vino a ser cabeza del ángulo?,Salmo 118,Salmo 22,Salmo 2,Salmo 110,A,"El Salmo 118 describe la piedra desechada por los edificadores que se convirtió en cabeza del ángulo, aplicada a Jesús en el Nuevo Testamento.",Salmo 118:22; Mateo 21:42
567,Profecías,experto,profecia-siervo-luz-gentiles,¿Qué profecía de Isaías describe al siervo del Señor como 'luz para las naciones (gentiles)'?,Isaías 42:6,Isaías 6:1-3,Isaías 55:1,Isaías 65:1,A,"Isaías profetiza que el siervo del Señor sería puesto como luz de las naciones, cumplida en el ministerio de Jesús hacia los gentiles.",Isaías 42:6; Lucas 2:32
568,Profecías,principiante,profecia-jesus-huesos-no-quebrados,"¿Qué detalle profético del Antiguo Testamento, relacionado con el cordero pascual, se cumplió al no quebrar los huesos de Jesús en la cruz?",'Hueso suyo no será quebrado','Su sangre cubrirá los pecados','Comerán la carne asada al fuego','Será comido en una sola casa',A,"La ley de la pascua establecía que no se quebraría hueso del cordero, cumplido proféticamente cuando los soldados no quebraron las piernas de Jesús.","Éxodo 12:46; Juan 19:33,36"
569,Profecías,intermedio,profecia-repartieron-vestiduras,¿Qué salmo profético anticipa que los soldados repartirían las vestiduras del Mesías y echarían suertes sobre su ropa?,Salmo 22,Salmo 23,Salmo 24,Salmo 51,A,"El Salmo 22 describe cómo repartieron entre sí las vestiduras y sobre la ropa echaron suertes, cumplido literalmente en la crucifixión de Jesús.",Salmo 22:18; Juan 19:23-24
570,Profecías,avanzado,profecia-sepultura-rico,"¿Qué profecía de Isaías anticipa que el siervo sufriente sería sepultado 'con los ricos', a pesar de morir entre malhechores?",Isaías 53:9,Isaías 53:3,Isaías 53:1,Isaías 52:14,A,"Isaías profetiza que se dispuso con los impíos su sepultura, mas con los ricos fue en su muerte, cumplido cuando José de Arimatea, hombre rico, sepultó a Jesús.",Isaías 53:9; Mateo 27:57-60
571,Profecías,experto,profecia-derramamiento-espiritu-ezequiel,"Además de Joel, ¿qué otro profeta anunció que Dios pondría su Espíritu dentro de su pueblo, haciéndolos andar en sus estatutos?",Ezequiel,Amós,Nahúm,Abdías,A,"Ezequiel profetizó que Dios pondría su Espíritu dentro del pueblo, haciendo que anduvieran en sus estatutos y guardaran sus preceptos.",Ezequiel 36:27
572,Profecías,principiante,profecia-nacimiento-virgen-cumplimiento,¿En qué evangelio se cita explícitamente la profecía de Isaías 7:14 sobre el nacimiento virginal como cumplida en Jesús?,Mateo,Marcos,Lucas (de forma explícita con cita),Juan,A,"Mateo cita explícitamente la profecía de Isaías, afirmando que todo esto aconteció para que se cumpliera lo dicho por el profeta.",Mateo 1:22-23
573,Profecías,intermedio,profecia-mensajero-pacto,"¿Qué profecía de Malaquías anuncia la venida repentina del 'Señor' a su templo, junto con 'el mensajero del pacto'?",Malaquías 3:1,Malaquías 4:5,Malaquías 1:2,Malaquías 2:7,A,"Malaquías profetiza que el Señor vendría de repente a su templo, junto con el mensajero del pacto, entendido en referencia a Cristo.",Malaquías 3:1
574,Profecías,avanzado,profecia-reino-eterno-daniel-piedra,"En la interpretación del sueño de Nabucodonosor, ¿qué representa la 'piedra cortada no con mano' que destruye la estatua?","Un reino eterno que Dios establecería, que nunca sería destruido",Otro imperio humano temporal,Un ángel destructor,El fin literal del mundo físico inmediato,A,"Daniel interpreta que la piedra representa un reino que Dios levantaría, el cual no sería jamás destruido, entendido como referencia al reino mesiánico.",Daniel 2:44-45
575,Profecías,experto,profecia-ungido-cortado,"En la profecía de las setenta semanas de Daniel, ¿qué se profetiza que ocurriría con 'el Mesías' después de las sesenta y dos semanas?",Sería coronado rey inmediatamente,"Sería quitado (cortado), sin tener nada",Establecería un reino terrenal,Destruiría a sus enemigos,B,"Daniel profetiza que después de sesenta y dos semanas se quitaría la vida al Mesías, y no tendría nada, entendido como referencia a la muerte de Cristo.",Daniel 9:26
576,Profecías,principiante,profecia-paz-principe,¿Qué título profético de Isaías 9:6 describe al Mesías en relación con la paz?,Príncipe de Paz,Rey de gloria,Señor de ejércitos,Santo de Israel,A,Entre los títulos que Isaías da al niño que ha de nacer está 'Príncipe de Paz'.,Isaías 9:6
577,Profecías,intermedio,profecia-ninos-alaban,"¿Qué salmo profético anuncia que Dios fundaría fortaleza 'de la boca de los niños y de los que maman', citado por Jesús en el templo?",Salmo 8,Salmo 22,Salmo 110,Salmo 24,A,"El Salmo 8 declara que de la boca de los niños Dios fundó la fortaleza, texto que Jesús citó cuando los niños lo alababan en el templo.",Salmo 8:2; Mateo 21:15-16
578,Profecías,avanzado,profecia-sacerdote-melquisedec,¿Qué salmo profetiza que el Mesías sería 'sacerdote para siempre según el orden de Melquisedec'?,Salmo 110,Salmo 118,Salmo 22,Salmo 89,A,El Salmo 110 declara que el Señor ha jurado que el Mesías sería sacerdote para siempre según el orden de Melquisedec.,Salmo 110:4; Hebreos 5:6
579,Profecías,experto,profecia-vestidos-suertes-detalle-adicional,"¿Qué profecía adicional de Zacarías, además de la de las treinta piezas de plata, se relaciona con el sufrimiento del 'pastor herido'?","'Hiere al pastor, y serán dispersadas las ovejas'",'El pastor cuidará a sus ovejas para siempre','No habrá más pastores en Israel','El pastor será coronado rey inmediatamente',A,"Zacarías profetiza que se heriría al pastor y las ovejas serían dispersadas, texto que Jesús cita en referencia a sí mismo antes de su arresto.",Zacarías 13:7; Mateo 26:31
580,Profecías,principiante,profecia-reino-no-tendra-fin,"Según el anuncio del ángel Gabriel a María, ¿qué característica especial tendría el reino de Jesús?","Sería temporal, de unos cien años",No tendría fin,"Sería solo espiritual, sin ningún trono",Terminaría con su muerte,B,"El ángel anunció a María que Jesús reinaría sobre la casa de Jacob para siempre, y su reino no tendría fin.",Lucas 1:32-33
